Scope
Manufacturer	Model
Synapse Audio	com.synapseAudioSoftware.LegendHZ

Mapped	Remotable Name	Type	Page	Min	Max	Input type	Output type
[x]	Amplifier Envelope Decay	encoder	1	0	4194304	Value	ValueOutput
[x]	Amplifier Envelope Sustain	encoder	1	0	4194304	Value	ValueOutput
[x]	Amplifier Envelope Release	encoder	1	0	4194304	Value	ValueOutput

## Row 5 -- section ARPEGGIATOR/SEQUENCER

### Tab MM

(page 3)

[x]	MM #1 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #1 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #2 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #2 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #3 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #3 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #4 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #4 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #5 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #5 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #6 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #6 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #7 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #7 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #8 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #8 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #9 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #9 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #10 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #10 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #11 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #11 Mute	button	0	1	Toggle	ValueOutput

[x]	MM #12 Amount	encoder	0	4194304	Value	ValueOutput
[x]	MM #12 Mute	button	0	1	Toggle	ValueOutput

### Tab SEQ

(page 3)

[x]	ARP Octave	encoder	0	3	Value	ValueOutput
[x]	ARP Sync	button	0	1	Toggle	ValueOutput
[x]	ARP Rate	encoder	0	23	Value	ValueOutput
[x]	ARP Length	encoder	0	4194304	Value	ValueOutput
[x]	ARP Swing	encoder	0	4194304	Value	ValueOutput
